dataset,config,n,r,ci_lo,ci_hi,ci_width
delaney,names_only/wp_molproperty_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-86.3,-90.1,-81.7,8.3
delaney,names_only/wp_molproperty_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-87.7,-90.9,-83.6,7.3
delaney,names_only/wp_molproperty_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-92.1,-94.9,-88.4,6.5
delaney,names_only/wp_molproperty_blind/gpt-5-nano_2024-12-01-preview/940/60,150,-76.2,-83.6,-67.7,15.9
delaney,names_only/wp_molproperty_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-91.5,-94.3,-87.8,6.5
delaney,names_only/wp_molproperty_blind/google/gemini-2.5-pro/940/60,150,-95.7,-97.0,-94.1,2.9
delaney,names_only/wp_molproperty_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-76.0,-82.1,-68.6,13.6
delaney,names_only/wp_molproperty_blind/google/gemini-2.5-flash-lite/940/60,150,-46.9,-62.6,-29.0,33.6
delaney,names_only/wp_sampleproperty_clear/google/gemini-2.5-flash/940/60,150,80.9,74.3,86.5,12.3
delaney,names_only/wp_sampleproperty_clear/gpt-4.1-mini_2024-12-01-preview/940/60,150,74.3,65.2,81.8,16.7
delaney,names_only/wp_sampleproperty_clear/gpt-5-mini_2024-12-01-preview/940/60,150,81.4,73.8,87.1,13.3
delaney,names_only/wp_sampleproperty_clear/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,84.1,78.4,88.8,10.4
delaney,names_only/wp_sampleproperty_clear/gpt-5-nano_2024-12-01-preview/940/60,150,33.1,16.7,48.0,31.2
delaney,names_only/wp_sampleproperty_clear/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,86.8,81.4,90.9,9.4
delaney,names_only/wp_sampleproperty_clear/google/gemini-2.5-pro/940/60,150,93.3,90.5,95.5,5.0
delaney,names_only/wp_sampleproperty_clear/gpt-4.1-nano_2024-12-01-preview/940/60,150,43.8,29.6,57.0,27.5
delaney,names_only/wp_sampleproperty_clear/google/gemini-2.5-flash-lite/940/60,150,-11.4,-28.6,6.8,35.4
delaney,names_only/wp_solubility_blind/google/gemini-2.5-flash/940/60,150,-84.8,-91.0,-76.7,14.3
delaney,names_only/wp_solubility_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-82.4,-87.0,-76.9,10.1
delaney,names_only/wp_solubility_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-85.9,-89.8,-81.4,8.4
delaney,names_only/wp_solubility_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-89.8,-93.2,-85.4,7.8
delaney,names_only/wp_solubility_blind/gpt-5-nano_2024-12-01-preview/940/60,150,-71.9,-80.0,-62.6,17.4
delaney,names_only/wp_solubility_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-91.4,-94.6,-86.5,8.1
delaney,names_only/wp_solubility_blind/google/gemini-2.5-pro/940/60,150,-96.3,-97.5,-94.6,2.9
delaney,names_only/wp_solubility_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-75.0,-80.9,-68.0,12.9
delaney,names_only/wp_solubility_blind/google/gemini-2.5-flash-lite/940/60,150,-49.1,-62.3,-33.9,28.4
delaney,names_only/wp_sampleproperty_blind/google/gemini-2.5-flash/940/60,150,-73.8,-80.7,-65.4,15.3
delaney,names_only/wp_sampleproperty_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,-77.8,-84.5,-69.8,14.7
delaney,names_only/wp_sampleproperty_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-81.8,-86.8,-75.2,11.5
delaney,names_only/wp_sampleproperty_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-82.2,-87.7,-74.7,13.0
delaney,names_only/wp_sampleproperty_blind/gpt-5-nano_2024-12-01-preview/940/60,150,-34.7,-48.3,-19.7,28.7
delaney,names_only/wp_sampleproperty_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-86.5,-90.5,-81.0,9.5
delaney,names_only/wp_sampleproperty_blind/google/gemini-2.5-pro/940/60,150,-92.8,-95.0,-89.9,5.1
delaney,names_only/wp_sampleproperty_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,-45.3,-57.6,-30.8,26.7
delaney,names_only/wp_sampleproperty_blind/google/gemini-2.5-flash-lite/940/60,150,-51.2,-62.6,-38.7,23.9
lipophilicity,names_only/with_preanalysis/gpt-5-nano_2024-12-01-preview/940/60,150,2.7,-11.8,18.0,29.8
lipophilicity,names_only/with_preanalysis/gpt-5-nano_2024-12-01-preview/0/60,150,16.5,-0.3,33.7,34.0
lipophilicity,names_only/with_preanalysis/google/gemini-2.5-pro/940/60,150,72.5,62.4,81.4,19.0
lipophilicity,names_only/with_preanalysis/google/gemini-2.5-pro/0/60,150,44.7,28.6,58.2,29.6
lipophilicity,names_only/with_preanalysis/google/gemini-2.5-flash/940/60,150,38.4,28.3,61.0,32.7
lipophilicity,names_only/with_preanalysis/google/gemini-2.5-flash/0/60,150,13.8,4.9,36.6,31.6
lipophilicity,names_only/with_preanalysis/gpt-5_2024-12-01-preview/0/60,150,38.6,25.1,51.3,26.2
lipophilicity,names_only/with_preanalysis/gpt-4.1_2024-12-01-preview/0/60,150,41.6,26.3,55.7,29.4
lipophilicity,names_only/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/940/60,150,21.7,6.7,36.1,29.4
lipophilicity,names_only/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/0/60,150,8.4,-6.7,24.3,31.0
lipophilicity,names_only/with_preanalysis/gpt-5-mini_2024-12-01-preview/940/60,150,34.9,19.4,49.8,30.4
lipophilicity,names_only/with_preanalysis/gpt-5-mini_2024-12-01-preview/0/60,150,32.4,17.0,46.6,29.6
lipophilicity,names_only/with_preanalysis/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,30.0,17.0,55.5,38.4
lipophilicity,names_only/with_preanalysis/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,51.6,39.1,62.7,23.6
lipophilicity,names_only/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/940/60,150,22.9,5.3,40.2,34.9
lipophilicity,names_only/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/0/60,150,23.8,5.0,40.4,35.4
lipophilicity,names_only/with_preanalysis/google/gemini-2.5-flash-lite/940/60,150,4.9,-12.5,20.8,33.2
lipophilicity,names_only/with_preanalysis/google/gemini-2.5-flash-lite/0/60,150,-0.8,-18.2,16.1,34.4
lipophilicity,names_only/wp_molproperty_clear/google/gemini-2.5-flash/940/60,150,51.1,36.2,63.6,27.4
lipophilicity,names_only/wp_molproperty_clear/gpt-4.1-mini_2024-12-01-preview/940/60,150,22.0,5.0,37.7,32.8
lipophilicity,names_only/wp_molproperty_clear/gpt-5-mini_2024-12-01-preview/940/60,150,24.6,7.8,40.8,32.9
lipophilicity,names_only/wp_molproperty_clear/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,37.6,23.7,50.4,26.7
lipophilicity,names_only/wp_molproperty_clear/gpt-5-nano_2024-12-01-preview/940/60,150,-7.0,-21.6,8.4,30.0
lipophilicity,names_only/wp_molproperty_clear/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,45.2,29.5,58.7,29.2
lipophilicity,names_only/wp_molproperty_clear/google/gemini-2.5-pro/940/60,150,64.8,54.2,74.3,20.1
lipophilicity,names_only/wp_molproperty_clear/gpt-4.1-nano_2024-12-01-preview/940/60,150,4.6,-11.6,20.0,31.6
lipophilicity,names_only/wp_molproperty_clear/google/gemini-2.5-flash-lite/940/60,150,7.9,-4.8,19.9,24.7
lipophilicity,names_only/wp_molproperty_blind/google/gemini-2.5-flash/940/60,150,-44.4,-57.7,-29.3,28.4
lipophilicity,names_only/wp_molproperty_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,13.0,-2.5,27.6,30.1
lipophilicity,names_only/wp_molproperty_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-9.9,-28.0,7.5,35.5
lipophilicity,names_only/wp_molproperty_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-21.3,-37.3,-3.4,34.0
lipophilicity,names_only/wp_molproperty_blind/gpt-5-nano_2024-12-01-preview/940/60,150,2.9,-11.5,17.7,29.2
lipophilicity,names_only/wp_molproperty_blind/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,-39.6,-54.4,-23.8,30.6
lipophilicity,names_only/wp_molproperty_blind/google/gemini-2.5-pro/940/60,150,-53.0,-65.2,-39.1,26.2
lipophilicity,names_only/wp_molproperty_blind/gpt-4.1-nano_2024-12-01-preview/940/60,150,9.2,-7.3,24.2,31.5
lipophilicity,names_only/wp_molproperty_blind/google/gemini-2.5-flash-lite/940/60,150,-5.6,-23.0,11.8,34.9
lipophilicity,names_only/wp_sampleproperty_clear/google/gemini-2.5-flash/940/60,150,21.6,12.5,40.6,28.0
lipophilicity,names_only/wp_sampleproperty_clear/gpt-4.1-mini_2024-12-01-preview/940/60,150,19.2,4.6,33.3,28.6
lipophilicity,names_only/wp_sampleproperty_clear/gpt-5-mini_2024-12-01-preview/940/60,150,17.3,3.4,32.0,28.6
lipophilicity,names_only/wp_sampleproperty_clear/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,25.3,10.8,39.0,28.2
lipophilicity,names_only/wp_sampleproperty_clear/gpt-5-nano_2024-12-01-preview/940/60,150,-0.9,-15.2,14.5,29.7
lipophilicity,names_only/wp_sampleproperty_clear/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,26.3,9.8,41.6,31.8
lipophilicity,names_only/wp_sampleproperty_clear/google/gemini-2.5-pro/940/60,150,42.5,29.2,55.0,25.9
lipophilicity,names_only/wp_sampleproperty_clear/gpt-4.1-nano_2024-12-01-preview/940/60,150,11.3,-3.0,26.7,29.7
lipophilicity,names_only/wp_sampleproperty_clear/google/gemini-2.5-flash-lite/940/60,150,-3.1,-21.9,14.7,36.6
lipophilicity,names_only/wp_solubility_blind/google/gemini-2.5-flash/940/60,150,-33.8,-46.3,-20.3,26.1
lipophilicity,names_only/wp_solubility_blind/gpt-4.1-mini_2024-12-01-preview/940/60,150,11.2,-7.9,29.3,37.3
lipophilicity,names_only/wp_solubility_blind/gpt-5-mini_2024-12-01-preview/940/60,150,-0.6,-17.4,15.0,32.4
lipophilicity,names_only/wp_solubility_blind/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,-7.2,-24.5,10.2,34.7
