sweep,level,transformed,model,m1,m2,R21,ci_lo,ci_hi,floor
Boiling points,"5 Agnostic, orig.",False,Gemini 2.5 Pro,161,44,27.32919254658385,21.0338025132436,34.68125970406077,12.493827160493828
Boiling points,"5 Agnostic, orig.",False,GPT-4.1,142,27,19.014084507042252,13.409391490815375,26.25117175039975,12.493827160493828
Boiling points,"5 Agnostic, orig.",False,Gemini 2.5 Flash-Lite,115,23,20.0,13.71296827840679,28.226554582274993,12.493827160493828
Boiling points,"6 Agnostic, transf.",True,GPT-5,138,27,19.565217391304348,13.809096832293067,26.969912992751212,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,Gemini 2.5 Flash,80,15,18.75,11.705207812728379,28.65852570380757,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,GPT-4.1 mini,67,3,4.477611940298507,1.5343696938151803,12.35803251053932,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,GPT-5 nano,91,9,9.89010989010989,5.290804058720921,17.738752591525387,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,GPT-4.1 nano,57,1,1.7543859649122806,0.3103584706680096,9.29096693826272,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,GPT-5 mini,87,14,16.091954022988507,9.834554809488496,25.2172276337974,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,Gemini 2.5 Pro,102,12,11.764705882352942,6.859379029446799,19.445589905263184,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,GPT-4.1,112,11,9.821428571428571,5.572918231381243,16.734784700898697,12.293388429752065
Boiling points,"6 Agnostic, transf.",True,Gemini 2.5 Flash-Lite,62,10,16.129032258064516,9.003972354068436,27.206569309560642,12.293388429752065
Atomic weights,"1 Specific, orig.",False,GPT-5,370,370,100.0,98.97239900535413,99.99999999999997,14.098750743604999
Atomic weights,"1 Specific, orig.",False,Gemini 2.5 Flash,374,373,99.73262032085562,98.5011687753923,99.95278653286385,14.098750743604999
Atomic weights,"1 Specific, orig.",False,GPT-4.1 mini,370,370,100.0,98.97239900535413,99.99999999999997,14.098750743604999
Atomic weights,"1 Specific, orig.",False,GPT-5 nano,365,364,99.72602739726027,98.46460873645746,99.95162197070788,14.098750743604999
Atomic weights,"1 Specific, orig.",False,GPT-4.1 nano,366,366,100.0,98.96128504743652,99.99999999999999,14.098750743604999
